timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 07:06:57.529, P2, 1695, 7601, 103.62, 230.00, 70, 0, 0, 21258, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:06:58.534, P2, 1695, 7601, 83.88, 230.00, 69, 0, 0, 21258, 3, 16, Not Active, Not Active, Not Active
2026/07/24 07:06:59.535, P2, 1830, 7601, 232.46, 230.00, 74, 88, 70, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:00.536, P2, 1815, 7601, 233.43, 230.00, 75, 88, 71, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:01.537, P2, 1785, 7601, 231.11, 230.00, 76, 88, 70, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:02.537, P2, 1800, 7601, 228.85, 230.00, 76, 89, 72, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:03.538, P2, 1770, 7601, 232.48, 230.00, 76, 88, 71, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:04.539, P2, 1815, 7601, 231.61, 230.00, 76, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:05.540, P2, 1800, 7601, 229.11, 230.00, 76, 87, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:06.541, P2, 1800, 7601, 226.78, 230.00, 76, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:07.542, P2, 1800, 7601, 224.67, 230.00, 76, 89, 72, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:08.543, P2, 1785, 7601, 227.43, 230.00, 77, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:09.544, P2, 1785, 7601, 230.80, 230.00, 77, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:10.544, P2, 1785, 7601, 229.67, 230.00, 77, 87, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:11.545, P2, 1785, 7601, 227.83, 230.00, 77, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:12.546, P2, 1785, 7601, 225.51, 230.00, 77, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:13.547, P2, 1770, 7601, 223.67, 230.00, 77, 89, 72, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:14.548, P2, 1785, 7601, 230.34, 230.00, 77, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:15.549, P2, 1800, 7601, 228.88, 230.00, 77, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:16.550, P2, 1800, 7601, 232.05, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:17.551, P2, 1800, 7601, 232.86, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:18.552, P2, 1785, 7601, 228.50, 230.00, 78, 89, 72, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:19.554, P2, 1785, 7601, 228.81, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:20.555, P2, 1785, 7601, 230.30, 230.00, 78, 88, 66, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:21.555, P2, 1785, 7601, 229.37, 230.00, 78, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:22.556, P2, 1785, 7601, 233.32, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:23.557, P2, 1800, 7601, 233.04, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:24.558, P2, 1785, 7601, 231.34, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:25.559, P2, 1785, 7601, 230.89, 230.00, 78, 87, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:26.561, P2, 1800, 7601, 230.12, 230.00, 78, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:27.562, P2, 1785, 7601, 228.55, 230.00, 78, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:28.563, P2, 1785, 7601, 227.93, 230.00, 78, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:29.564, P2, 1785, 7601, 230.65, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:30.564, P2, 1770, 7601, 226.11, 230.00, 78, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:31.565, P2, 1785, 7601, 228.44, 230.00, 79, 88, 67, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:32.566, P2, 1785, 7601, 228.91, 230.00, 79, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:33.567, P2, 1785, 7601, 226.63, 230.00, 79, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:34.567, P2, 1785, 7601, 227.46, 230.00, 79, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:35.568, P2, 1770, 7601, 229.13, 230.00, 79, 88, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:36.569, P2, 1770, 7601, 228.29, 230.00, 79, 89, 69, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:37.570, P2, 1785, 7601, 229.05, 230.00, 79, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:38.571, P2, 1785, 7601, 229.02, 230.00, 79, 89, 71, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:39.572, P2, 1770, 7601, 231.52, 230.00, 79, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:40.573, P2, 1785, 7601, 229.29, 230.00, 79, 89, 72, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:41.574, P2, 1770, 7601, 227.00, 230.00, 79, 89, 72, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:42.575, P2, 1800, 7601, 228.32, 230.00, 79, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 07:07:43.576, P2, 1785, 7601, 229.56, 230.00, 79, 88, 70, 21262, 3, 16, Active, Not Active, Not Active
