timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:11:31.616, P2, 1695, 7601, 109.64, 230.00, 73, 0, 0, 21262, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:11:32.621, P2, 1695, 7601, 88.13, 230.00, 72, 0, 0, 21262, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:11:33.622, P2, 1815, 7601, 204.61, 230.00, 76, 97, 20, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:34.622, P2, 1770, 7601, 205.73, 230.00, 77, 96, 22, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:35.624, P2, 1815, 7601, 229.95, 230.00, 78, 86, 51, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:36.624, P2, 1800, 7601, 231.83, 230.00, 78, 87, 53, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:37.625, P2, 1800, 7601, 230.30, 230.00, 78, 88, 55, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:38.626, P2, 1785, 7601, 232.08, 230.00, 78, 87, 54, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:39.627, P2, 1785, 7601, 232.62, 230.00, 78, 90, 57, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:40.628, P2, 1815, 7601, 212.60, 230.00, 78, 100, 21, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:41.630, P2, 1755, 7601, 213.43, 230.00, 78, 100, 23, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:42.631, P2, 1815, 7601, 230.47, 230.00, 78, 87, 52, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:43.631, P2, 1815, 7601, 229.68, 230.00, 79, 87, 53, 21262, 3, 16, Active, Not Active, Not Active
2026/07/24 06:11:44.632, P2, 1785, 7601, 227.99, 230.00, 79, 87, 54, 21262, 3, 16, Active, Not Active, Not Active
