timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:07:04.269, P2, 1905, 7601, 83.95, 230.00, 45, 0, 0, 21258, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:07:05.275, P2, 1695, 7601, 80.21, 230.00, 44, 0, 0, 21258, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:07:06.275, P2, 1890, 7601, 227.78, 230.00, 50, 89, 76, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:07.276, P2, 1905, 7601, 226.39, 230.00, 52, 89, 76, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:08.278, P2, 1905, 7601, 220.87, 230.00, 52, 88, 76, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:09.279, P2, 1905, 7601, 228.32, 230.00, 54, 89, 76, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:10.279, P2, 1905, 7601, 228.46, 230.00, 54, 89, 77, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:11.280, P2, 1905, 7601, 228.23, 230.00, 55, 90, 77, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:12.281, P2, 1890, 7601, 229.30, 230.00, 56, 90, 77, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:13.282, P2, 1890, 7601, 227.62, 230.00, 56, 90, 77, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:14.283, P2, 1890, 7601, 227.39, 230.00, 57, 90, 77, 21258, 3, 16, Active, Not Active, Not Active
2026/07/24 06:07:15.284, P2, 1905, 7601, 223.46, 230.00, 56, 84, 72, 21258, 3, 16, Active, Not Active, Not Active
