timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 06:40:29.616, P2, 1860, 7601, 114.58, 230.00, 76, 0, 0, 21116, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:40:30.621, P2, 1695, 7601, 109.56, 230.00, 74, 0, 0, 21116, 3, 16, Not Active, Not Active, Not Active
2026/07/24 06:40:31.622, P2, 1665, 7601, 231.98, 230.00, 77, 91, 93, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:32.623, P2, 1635, 7601, 226.70, 230.00, 78, 91, 93, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:33.624, P2, 1650, 7601, 224.98, 230.00, 78, 91, 92, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:34.625, P2, 1650, 7601, 226.52, 230.00, 78, 91, 94, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:35.627, P2, 1620, 7601, 227.05, 230.00, 78, 91, 93, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:36.629, P2, 1635, 7601, 226.77, 230.00, 78, 91, 94, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:37.630, P2, 1620, 7601, 228.43, 230.00, 79, 92, 94, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:38.631, P2, 1635, 7601, 229.69, 230.00, 79, 92, 95, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:39.632, P2, 1635, 7601, 228.72, 230.00, 78, 91, 93, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:40.633, P2, 1620, 7601, 231.12, 230.00, 79, 91, 92, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:41.634, P2, 1635, 7601, 231.66, 230.00, 79, 91, 92, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:42.635, P2, 1635, 7601, 229.64, 230.00, 79, 93, 95, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:43.636, P2, 1620, 7601, 230.61, 230.00, 79, 93, 94, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:44.638, P2, 1635, 7601, 230.19, 230.00, 79, 93, 95, 21116, 3, 16, Active, Not Active, Not Active
2026/07/24 06:40:45.638, P2, 1635, 7601, 229.97, 230.00, 79, 93, 95, 21116, 3, 16, Active, Not Active, Not Active
