timestamp, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw.instant [W], power.limit [W], temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], pcie.link.gen.gpucurrent, pcie.link.width.current, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown
2026/07/24 05:36:39.153, P2, 1845, 7601, 104.27, 300.00, 80, 3, 0, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:40.158, P2, 1800, 7601, 99.17, 300.00, 79, 4, 0, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:41.159, P2, 1695, 7601, 295.90, 300.00, 84, 89, 43, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:42.159, P2, 1665, 7601, 249.33, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:43.160, P2, 1680, 7601, 254.84, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:44.161, P2, 1665, 7601, 256.76, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:45.161, P2, 1665, 7601, 249.40, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:46.162, P2, 1650, 7601, 253.81, 300.00, 84, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:47.163, P2, 1680, 7601, 250.88, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:48.163, P2, 1680, 7601, 254.44, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:49.164, P2, 1680, 7601, 259.13, 300.00, 84, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:50.165, P2, 1665, 7601, 255.60, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:51.166, P2, 1665, 7601, 251.58, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:52.166, P2, 1665, 7601, 293.71, 300.00, 85, 87, 43, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:36:53.167, P2, 1860, 7601, 233.89, 300.00, 83, 68, 41, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:54.168, P2, 1860, 7601, 236.45, 300.00, 83, 67, 41, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:55.168, P2, 1860, 7601, 232.46, 300.00, 83, 60, 36, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:56.169, P2, 1860, 7601, 222.94, 300.00, 83, 60, 36, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:57.170, P2, 1860, 7601, 220.51, 300.00, 83, 62, 37, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:58.171, P2, 1815, 7601, 220.72, 300.00, 83, 61, 36, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:36:59.172, P2, 1860, 7601, 220.34, 300.00, 83, 56, 32, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:00.172, P2, 1860, 7601, 233.02, 300.00, 83, 60, 37, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:01.173, P2, 1860, 7601, 220.66, 300.00, 83, 60, 36, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:02.174, P2, 1860, 7601, 225.34, 300.00, 82, 63, 39, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:03.175, P2, 1860, 7601, 239.54, 300.00, 83, 68, 41, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:04.176, P2, 1860, 7601, 240.94, 300.00, 83, 67, 40, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:05.176, P2, 1695, 7601, 316.06, 300.00, 84, 100, 42, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:06.177, P2, 1860, 7601, 222.45, 300.00, 83, 63, 38, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:07.178, P2, 1860, 7601, 241.83, 300.00, 83, 65, 39, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:08.179, P2, 1860, 7601, 221.77, 300.00, 82, 62, 38, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:09.179, P2, 1860, 7601, 243.38, 300.00, 83, 65, 40, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:10.180, P2, 1860, 7601, 221.57, 300.00, 82, 63, 38, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:11.181, P2, 1860, 7601, 223.75, 300.00, 82, 60, 36, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:12.182, P2, 1770, 7601, 293.79, 300.00, 84, 99, 44, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:13.183, P2, 1755, 7601, 269.58, 300.00, 83, 80, 39, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:14.183, P2, 1650, 7601, 271.54, 300.00, 83, 80, 39, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:15.184, P2, 1665, 7601, 273.14, 300.00, 83, 80, 39, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:16.185, P2, 1665, 7601, 273.92, 300.00, 83, 80, 40, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:17.185, P2, 1680, 7601, 269.82, 300.00, 83, 80, 39, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:18.186, P2, 1620, 7601, 250.42, 300.00, 83, 67, 37, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:19.187, P2, 1755, 7601, 246.81, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:20.188, P2, 1770, 7601, 254.60, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:21.188, P2, 1770, 7601, 247.90, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:22.189, P2, 1770, 7601, 249.21, 300.00, 83, 71, 34, 13122, 3, 16, Active, Not Active, Not Active
2026/07/24 05:37:23.190, P2, 1860, 7601, 224.52, 300.00, 83, 63, 34, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:24.191, P2, 1860, 7601, 238.61, 300.00, 83, 67, 41, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:25.191, P2, 1860, 7601, 240.09, 300.00, 83, 66, 40, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:26.192, P2, 1860, 7601, 234.73, 300.00, 83, 61, 37, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:27.193, P2, 1860, 7601, 241.67, 300.00, 83, 66, 40, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:28.194, P2, 1860, 7601, 240.27, 300.00, 83, 67, 41, 13122, 3, 16, Not Active, Not Active, Not Active
2026/07/24 05:37:29.195, P2, 1680, 7601, 307.09, 300.00, 84, 99, 42, 13122, 3, 16, Active, Not Active, Not Active
